Time (CET),Day-ahead Total Load Forecast [MW] - Cyprus (CY),Actual Total Load [MW] - Cyprus (CY)
05.11.2018 06:30 - 05.11.2018 07:00,0,405
05.11.2018 07:00 - 05.11.2018 07:30,0,425
05.11.2018 07:30 - 05.11.2018 08:00,0,437
05.11.2018 08:00 - 05.11.2018 08:30,0,435
05.11.2018 08:30 - 05.11.2018 09:00,0,436
05.11.2018 09:00 - 05.11.2018 09:30,0,443
05.11.2018 09:30 - 05.11.2018 10:00,0,440
05.11.2018 10:00 - 05.11.2018 10:30,0,442
05.11.2018 10:30 - 05.11.2018 11:00,0,457
05.11.2018 11:00 - 05.11.2018 11:30,0,458
05.11.2018 11:30 - 05.11.2018 12:00,0,460
05.11.2018 12:00 - 05.11.2018 12:30,0,462
05.11.2018 12:30 - 05.11.2018 13:00,0,460
05.11.2018 13:00 - 05.11.2018 13:30,0,466
05.11.2018 13:30 - 05.11.2018 14:00,0,469
05.11.2018 14:00 - 05.11.2018 14:30,0,464
05.11.2018 14:30 - 05.11.2018 15:00,0,463
05.11.2018 15:00 - 05.11.2018 15:30,0,468
05.11.2018 15:30 - 05.11.2018 16:00,0,477
05.11.2018 16:00 - 05.11.2018 16:30,0,500
05.11.2018 16:30 - 05.11.2018 17:00,0,544
05.11.2018 17:00 - 05.11.2018 17:30,0,545
05.11.2018 17:30 - 05.11.2018 18:00,0,544
05.11.2018 18:00 - 05.11.2018 18:30,0,536
05.11.2018 18:30 - 05.11.2018 19:00,0,529
05.11.2018 19:00 - 05.11.2018 19:30,0,512
05.11.2018 19:30 - 05.11.2018 20:00,0,495
05.11.2018 20:00 - 05.11.2018 20:30,0,479
05.11.2018 20:30 - 05.11.2018 21:00,0,453
05.11.2018 21:00 - 05.11.2018 21:30,0,424
05.11.2018 21:30 - 05.11.2018 22:00,0,399
05.11.2018 22:00 - 05.11.2018 22:30,0,375
05.11.2018 22:30 - 05.11.2018 23:00,0,351
05.11.2018 23:00 - 05.11.2018 23:30,0,332
05.11.2018 23:30 - 06.11.2018 00:00,0,315
06.11.2018 00:00 - 06.11.2018 00:30,0,304
06.11.2018 00:30 - 06.11.2018 01:00,0,297
06.11.2018 01:00 - 06.11.2018 01:30,0,291
06.11.2018 01:30 - 06.11.2018 02:00,0,286
06.11.2018 02:00 - 06.11.2018 02:30,0,285
06.11.2018 02:30 - 06.11.2018 03:00,0,284
06.11.2018 03:00 - 06.11.2018 03:30,0,283
06.11.2018 03:30 - 06.11.2018 04:00,0,288
06.11.2018 04:00 - 06.11.2018 04:30,0,296
06.11.2018 04:30 - 06.11.2018 05:00,0,312
06.11.2018 05:00 - 06.11.2018 05:30,0,325
06.11.2018 05:30 - 06.11.2018 06:00,0,361
06.11.2018 06:00 - 06.11.2018 06:30,0,385
06.11.2018 06:30 - 06.11.2018 07:00,0,403
06.11.2018 07:00 - 06.11.2018 07:30,0,419
06.11.2018 07:30 - 06.11.2018 08:00,0,429
06.11.2018 08:00 - 06.11.2018 08:30,0,428
06.11.2018 08:30 - 06.11.2018 09:00,0,430
06.11.2018 09:00 - 06.11.2018 09:30,0,433
06.11.2018 09:30 - 06.11.2018 10:00,0,434
06.11.2018 10:00 - 06.11.2018 10:30,0,434
06.11.2018 10:30 - 06.11.2018 11:00,0,436
06.11.2018 11:00 - 06.11.2018 11:30,0,434
06.11.2018 11:30 - 06.11.2018 12:00,0,438
06.11.2018 12:00 - 06.11.2018 12:30,0,438
06.11.2018 12:30 - 06.11.2018 13:00,0,440
06.11.2018 13:00 - 06.11.2018 13:30,0,440
06.11.2018 13:30 - 06.11.2018 14:00,0,448
06.11.2018 14:00 - 06.11.2018 14:30,0,455
06.11.2018 14:30 - 06.11.2018 15:00,0,454
06.11.2018 15:00 - 06.11.2018 15:30,0,462
06.11.2018 15:30 - 06.11.2018 16:00,0,474
06.11.2018 16:00 - 06.11.2018 16:30,0,499
06.11.2018 16:30 - 06.11.2018 17:00,0,537
06.11.2018 17:00 - 06.11.2018 17:30,0,538
06.11.2018 17:30 - 06.11.2018 18:00,0,534
06.11.2018 18:00 - 06.11.2018 18:30,0,529
06.11.2018 18:30 - 06.11.2018 19:00,0,518
06.11.2018 19:00 - 06.11.2018 19:30,0,505
06.11.2018 19:30 - 06.11.2018 20:00,0,486
06.11.2018 20:00 - 06.11.2018 20:30,0,467
06.11.2018 20:30 - 06.11.2018 21:00,0,444
06.11.2018 21:00 - 06.11.2018 21:30,0,420
06.11.2018 21:30 - 06.11.2018 22:00,0,396
06.11.2018 22:00 - 06.11.2018 22:30,0,372
06.11.2018 22:30 - 06.11.2018 23:00,0,354
06.11.2018 23:00 - 06.11.2018 23:30,0,334
06.11.2018 23:30 - 07.11.2018 00:00,0,317
07.11.2018 00:00 - 07.11.2018 00:30,0,307
07.11.2018 00:30 - 07.11.2018 01:00,0,297
07.11.2018 01:00 - 07.11.2018 01:30,0,294
07.11.2018 01:30 - 07.11.2018 02:00,0,292
07.11.2018 02:00 - 07.11.2018 02:30,0,288
07.11.2018 02:30 - 07.11.2018 03:00,0,287
07.11.2018 03:00 - 07.11.2018 03:30,0,289
07.11.2018 03:30 - 07.11.2018 04:00,0,292
07.11.2018 04:00 - 07.11.2018 04:30,0,302
07.11.2018 04:30 - 07.11.2018 05:00,0,313
07.11.2018 05:00 - 07.11.2018 05:30,0,324
07.11.2018 05:30 - 07.11.2018 06:00,0,356
07.11.2018 06:00 - 07.11.2018 06:30,0,381
07.11.2018 06:30 - 07.11.2018 07:00,0,397
07.11.2018 07:00 - 07.11.2018 07:30,0,413
07.11.2018 07:30 - 07.11.2018 08:00,0,421
07.11.2018 08:00 - 07.11.2018 08:30,0,418
07.11.2018 08:30 - 07.11.2018 09:00,0,422
07.11.2018 09:00 - 07.11.2018 09:30,0,423
07.11.2018 09:30 - 07.11.2018 10:00,0,420
07.11.2018 10:00 - 07.11.2018 10:30,0,421
07.11.2018 10:30 - 07.11.2018 11:00,0,425
07.11.2018 11:00 - 07.11.2018 11:30,0,425
07.11.2018 11:30 - 07.11.2018 12:00,0,427
07.11.2018 12:00 - 07.11.2018 12:30,0,425
07.11.2018 12:30 - 07.11.2018 13:00,0,426
07.11.2018 13:00 - 07.11.2018 13:30,0,428
07.11.2018 13:30 - 07.11.2018 14:00,0,432
07.11.2018 14:00 - 07.11.2018 14:30,0,437
07.11.2018 14:30 - 07.11.2018 15:00,0,442
07.11.2018 15:00 - 07.11.2018 15:30,0,452
07.11.2018 15:30 - 07.11.2018 16:00,0,460
07.11.2018 16:00 - 07.11.2018 16:30,0,486
07.11.2018 16:30 - 07.11.2018 17:00,0,529
07.11.2018 17:00 - 07.11.2018 17:30,0,532
07.11.2018 17:30 - 07.11.2018 18:00,0,527
07.11.2018 18:00 - 07.11.2018 18:30,0,522
07.11.2018 18:30 - 07.11.2018 19:00,0,512
07.11.2018 19:00 - 07.11.2018 19:30,0,501
07.11.2018 19:30 - 07.11.2018 20:00,0,483
07.11.2018 20:00 - 07.11.2018 20:30,0,465
07.11.2018 20:30 - 07.11.2018 21:00,0,438
07.11.2018 21:00 - 07.11.2018 21:30,0,419
07.11.2018 21:30 - 07.11.2018 22:00,0,394
07.11.2018 22:00 - 07.11.2018 22:30,0,371
07.11.2018 22:30 - 07.11.2018 23:00,0,350
07.11.2018 23:00 - 07.11.2018 23:30,0,333
07.11.2018 23:30 - 08.11.2018 00:00,0,313
08.11.2018 00:00 - 08.11.2018 00:30,0,305
08.11.2018 00:30 - 08.11.2018 01:00,0,298
08.11.2018 01:00 - 08.11.2018 01:30,0,291
08.11.2018 01:30 - 08.11.2018 02:00,0,288
08.11.2018 02:00 - 08.11.2018 02:30,0,286
08.11.2018 02:30 - 08.11.2018 03:00,0,283
08.11.2018 03:00 - 08.11.2018 03:30,0,284
08.11.2018 03:30 - 08.11.2018 04:00,0,288
08.11.2018 04:00 - 08.11.2018 04:30,0,298
08.11.2018 04:30 - 08.11.2018 05:00,0,313
08.11.2018 05:00 - 08.11.2018 05:30,0,323
08.11.2018 05:30 - 08.11.2018 06:00,0,360
08.11.2018 06:00 - 08.11.2018 06:30,0,384
08.11.2018 06:30 - 08.11.2018 07:00,0,401
08.11.2018 07:00 - 08.11.2018 07:30,0,415
08.11.2018 07:30 - 08.11.2018 08:00,0,423
08.11.2018 08:00 - 08.11.2018 08:30,0,425
08.11.2018 08:30 - 08.11.2018 09:00,0,424
08.11.2018 09:00 - 08.11.2018 09:30,0,433
08.11.2018 09:30 - 08.11.2018 10:00,0,434
08.11.2018 10:00 - 08.11.2018 10:30,0,443
08.11.2018 10:30 - 08.11.2018 11:00,0,453
08.11.2018 11:00 - 08.11.2018 11:30,0,459
08.11.2018 11:30 - 08.11.2018 12:00,0,465
08.11.2018 12:00 - 08.11.2018 12:30,0,460
08.11.2018 12:30 - 08.11.2018 13:00,0,463
08.11.2018 13:00 - 08.11.2018 13:30,0,460
08.11.2018 13:30 - 08.11.2018 14:00,0,456
08.11.2018 14:00 - 08.11.2018 14:30,0,456
08.11.2018 14:30 - 08.11.2018 15:00,0,464
08.11.2018 15:00 - 08.11.2018 15:30,0,468
08.11.2018 15:30 - 08.11.2018 16:00,0,481
08.11.2018 16:00 - 08.11.2018 16:30,0,502
08.11.2018 16:30 - 08.11.2018 17:00,0,541
08.11.2018 17:00 - 08.11.2018 17:30,0,544
08.11.2018 17:30 - 08.11.2018 18:00,0,540
08.11.2018 18:00 - 08.11.2018 18:30,0,533
08.11.2018 18:30 - 08.11.2018 19:00,0,524
08.11.2018 19:00 - 08.11.2018 19:30,0,511
08.11.2018 19:30 - 08.11.2018 20:00,0,490
08.11.2018 20:00 - 08.11.2018 20:30,0,471
08.11.2018 20:30 - 08.11.2018 21:00,0,449
08.11.2018 21:00 - 08.11.2018 21:30,0,426
08.11.2018 21:30 - 08.11.2018 22:00,0,401
08.11.2018 22:00 - 08.11.2018 22:30,0,378
08.11.2018 22:30 - 08.11.2018 23:00,0,354
08.11.2018 23:00 - 08.11.2018 23:30,0,338
08.11.2018 23:30 - 09.11.2018 00:00,0,319
09.11.2018 00:00 - 09.11.2018 00:30,0,307
09.11.2018 00:30 - 09.11.2018 01:00,0,298
09.11.2018 01:00 - 09.11.2018 01:30,0,292
09.11.2018 01:30 - 09.11.2018 02:00,0,290
09.11.2018 02:00 - 09.11.2018 02:30,0,287
09.11.2018 02:30 - 09.11.2018 03:00,0,286
09.11.2018 03:00 - 09.11.2018 03:30,0,287
09.11.2018 03:30 - 09.11.2018 04:00,0,291
09.11.2018 04:00 - 09.11.2018 04:30,0,299
09.11.2018 04:30 - 09.11.2018 05:00,0,314
09.11.2018 05:00 - 09.11.2018 05:30,0,326
09.11.2018 05:30 - 09.11.2018 06:00,0,363
09.11.2018 06:00 - 09.11.2018 06:30,0,392
09.11.2018 06:30 - 09.11.2018 07:00,0,414
09.11.2018 07:00 - 09.11.2018 07:30,0,432
09.11.2018 07:30 - 09.11.2018 08:00,0,434
09.11.2018 08:00 - 09.11.2018 08:30,0,436
09.11.2018 08:30 - 09.11.2018 09:00,0,432
09.11.2018 09:00 - 09.11.2018 09:30,0,432
09.11.2018 09:30 - 09.11.2018 10:00,0,436
09.11.2018 10:00 - 09.11.2018 10:30,0,442
09.11.2018 10:30 - 09.11.2018 11:00,0,443
09.11.2018 11:00 - 09.11.2018 11:30,0,435
09.11.2018 11:30 - 09.11.2018 12:00,0,436
09.11.2018 12:00 - 09.11.2018 12:30,0,437
09.11.2018 12:30 - 09.11.2018 13:00,0,443
09.11.2018 13:00 - 09.11.2018 13:30,0,444
09.11.2018 13:30 - 09.11.2018 14:00,0,443
09.11.2018 14:00 - 09.11.2018 14:30,0,442
09.11.2018 14:30 - 09.11.2018 15:00,0,446
09.11.2018 15:00 - 09.11.2018 15:30,0,459
09.11.2018 15:30 - 09.11.2018 16:00,0,469
09.11.2018 16:00 - 09.11.2018 16:30,0,493
09.11.2018 16:30 - 09.11.2018 17:00,0,534
09.11.2018 17:00 - 09.11.2018 17:30,0,537
09.11.2018 17:30 - 09.11.2018 18:00,0,534
09.11.2018 18:00 - 09.11.2018 18:30,0,522
09.11.2018 18:30 - 09.11.2018 19:00,0,513
09.11.2018 19:00 - 09.11.2018 19:30,0,497
09.11.2018 19:30 - 09.11.2018 20:00,0,480
09.11.2018 20:00 - 09.11.2018 20:30,0,460
09.11.2018 20:30 - 09.11.2018 21:00,0,441
09.11.2018 21:00 - 09.11.2018 21:30,0,420
09.11.2018 21:30 - 09.11.2018 22:00,0,395
09.11.2018 22:00 - 09.11.2018 22:30,0,375
09.11.2018 22:30 - 09.11.2018 23:00,0,357
09.11.2018 23:00 - 09.11.2018 23:30,0,339
09.11.2018 23:30 - 10.11.2018 00:00,0,323
10.11.2018 00:00 - 10.11.2018 00:30,0,310
10.11.2018 00:30 - 10.11.2018 01:00,0,303
10.11.2018 01:00 - 10.11.2018 01:30,0,295
10.11.2018 01:30 - 10.11.2018 02:00,0,291
10.11.2018 02:00 - 10.11.2018 02:30,0,286
10.11.2018 02:30 - 10.11.2018 03:00,0,284
10.11.2018 03:00 - 10.11.2018 03:30,0,285
10.11.2018 03:30 - 10.11.2018 04:00,0,287
10.11.2018 04:00 - 10.11.2018 04:30,0,292
10.11.2018 04:30 - 10.11.2018 05:00,0,301
10.11.2018 05:00 - 10.11.2018 05:30,0,296
10.11.2018 05:30 - 10.11.2018 06:00,0,309
10.11.2018 06:00 - 10.11.2018 06:30,0,329
10.11.2018 06:30 - 10.11.2018 07:00,0,349
10.11.2018 07:00 - 10.11.2018 07:30,0,361
10.11.2018 07:30 - 10.11.2018 08:00,0,374
10.11.2018 08:00 - 10.11.2018 08:30,0,379
10.11.2018 08:30 - 10.11.2018 09:00,0,383
10.11.2018 09:00 - 10.11.2018 09:30,0,387
10.11.2018 09:30 - 10.11.2018 10:00,0,402
10.11.2018 10:00 - 10.11.2018 10:30,0,405
10.11.2018 10:30 - 10.11.2018 11:00,0,420
10.11.2018 11:00 - 10.11.2018 11:30,0,417
10.11.2018 11:30 - 10.11.2018 12:00,0,413
10.11.2018 12:00 - 10.11.2018 12:30,0,416
10.11.2018 12:30 - 10.11.2018 13:00,0,419
10.11.2018 13:00 - 10.11.2018 13:30,0,414
10.11.2018 13:30 - 10.11.2018 14:00,0,417
10.11.2018 14:00 - 10.11.2018 14:30,0,420
10.11.2018 14:30 - 10.11.2018 15:00,0,428
10.11.2018 15:00 - 10.11.2018 15:30,0,434
10.11.2018 15:30 - 10.11.2018 16:00,0,446
10.11.2018 16:00 - 10.11.2018 16:30,0,468
10.11.2018 16:30 - 10.11.2018 17:00,0,510
10.11.2018 17:00 - 10.11.2018 17:30,0,514
10.11.2018 17:30 - 10.11.2018 18:00,0,508
10.11.2018 18:00 - 10.11.2018 18:30,0,503
10.11.2018 18:30 - 10.11.2018 19:00,0,494
10.11.2018 19:00 - 10.11.2018 19:30,0,478
10.11.2018 19:30 - 10.11.2018 20:00,0,462
10.11.2018 20:00 - 10.11.2018 20:30,0,446
10.11.2018 20:30 - 10.11.2018 21:00,0,426
10.11.2018 21:00 - 10.11.2018 21:30,0,411
10.11.2018 21:30 - 10.11.2018 22:00,0,393
10.11.2018 22:00 - 10.11.2018 22:30,0,373
10.11.2018 22:30 - 10.11.2018 23:00,0,356
10.11.2018 23:00 - 10.11.2018 23:30,0,340
10.11.2018 23:30 - 11.11.2018 00:00,0,324
11.11.2018 00:00 - 11.11.2018 00:30,0,311
11.11.2018 00:30 - 11.11.2018 01:00,0,302
11.11.2018 01:00 - 11.11.2018 01:30,0,292
11.11.2018 01:30 - 11.11.2018 02:00,0,287
11.11.2018 02:00 - 11.11.2018 02:30,0,282
11.11.2018 02:30 - 11.11.2018 03:00,0,280
11.11.2018 03:00 - 11.11.2018 03:30,0,280
11.11.2018 03:30 - 11.11.2018 04:00,0,282
11.11.2018 04:00 - 11.11.2018 04:30,0,284
11.11.2018 04:30 - 11.11.2018 05:00,0,289
11.11.2018 05:00 - 11.11.2018 05:30,0,280
11.11.2018 05:30 - 11.11.2018 06:00,0,289
11.11.2018 06:00 - 11.11.2018 06:30,0,302
11.11.2018 06:30 - 11.11.2018 07:00,0,309
11.11.2018 07:00 - 11.11.2018 07:30,0,313
11.11.2018 07:30 - 11.11.2018 08:00,0,316
11.11.2018 08:00 - 11.11.2018 08:30,0,316
11.11.2018 08:30 - 11.11.2018 09:00,0,324
11.11.2018 09:00 - 11.11.2018 09:30,0,331
11.11.2018 09:30 - 11.11.2018 10:00,0,340
11.11.2018 10:00 - 11.11.2018 10:30,0,346
11.11.2018 10:30 - 11.11.2018 11:00,0,356
11.11.2018 11:00 - 11.11.2018 11:30,0,352
11.11.2018 11:30 - 11.11.2018 12:00,0,350
11.11.2018 12:00 - 11.11.2018 12:30,0,355
11.11.2018 12:30 - 11.11.2018 13:00,0,348
11.11.2018 13:00 - 11.11.2018 13:30,0,346
11.11.2018 13:30 - 11.11.2018 14:00,0,346
11.11.2018 14:00 - 11.11.2018 14:30,0,352
11.11.2018 14:30 - 11.11.2018 15:00,0,360
11.11.2018 15:00 - 11.11.2018 15:30,0,374
11.11.2018 15:30 - 11.11.2018 16:00,0,391
11.11.2018 16:00 - 11.11.2018 16:30,0,419
11.11.2018 16:30 - 11.11.2018 17:00,0,464
11.11.2018 17:00 - 11.11.2018 17:30,0,472
11.11.2018 17:30 - 11.11.2018 18:00,0,475
11.11.2018 18:00 - 11.11.2018 18:30,0,474
11.11.2018 18:30 - 11.11.2018 19:00,0,470
11.11.2018 19:00 - 11.11.2018 19:30,0,460
11.11.2018 19:30 - 11.11.2018 20:00,0,450
11.11.2018 20:00 - 11.11.2018 20:30,0,435
11.11.2018 20:30 - 11.11.2018 21:00,0,417
11.11.2018 21:00 - 11.11.2018 21:30,0,395
11.11.2018 21:30 - 11.11.2018 22:00,0,373
11.11.2018 22:00 - 11.11.2018 22:30,0,353
11.11.2018 22:30 - 11.11.2018 23:00,0,335
11.11.2018 23:00 - 11.11.2018 23:30,0,317
11.11.2018 23:30 - 12.11.2018 00:00,0,303
12.11.2018 00:00 - 12.11.2018 00:30,0,292
12.11.2018 00:30 - 12.11.2018 01:00,0,284
12.11.2018 01:00 - 12.11.2018 01:30,0,277
12.11.2018 01:30 - 12.11.2018 02:00,0,274
12.11.2018 02:00 - 12.11.2018 02:30,0,271
12.11.2018 02:30 - 12.11.2018 03:00,0,271
12.11.2018 03:00 - 12.11.2018 03:30,0,271
12.11.2018 03:30 - 12.11.2018 04:00,0,277
12.11.2018 04:00 - 12.11.2018 04:30,0,286
12.11.2018 04:30 - 12.11.2018 05:00,0,301
12.11.2018 05:00 - 12.11.2018 05:30,0,314
12.11.2018 05:30 - 12.11.2018 06:00,0,348
12.11.2018 06:00 - 12.11.2018 06:30,0,380
12.11.2018 06:30 - 12.11.2018 07:00,0,398
12.11.2018 07:00 - 12.11.2018 07:30,0,411
12.11.2018 07:30 - 12.11.2018 08:00,0,420
12.11.2018 08:00 - 12.11.2018 08:30,0,418
12.11.2018 08:30 - 12.11.2018 09:00,0,416
12.11.2018 09:00 - 12.11.2018 09:30,0,418
12.11.2018 09:30 - 12.11.2018 10:00,0,421
12.11.2018 10:00 - 12.11.2018 10:30,0,425
12.11.2018 10:30 - 12.11.2018 11:00,0,439
12.11.2018 11:00 - 12.11.2018 11:30,0,438
12.11.2018 11:30 - 12.11.2018 12:00,0,436
12.11.2018 12:00 - 12.11.2018 12:30,0,433
12.11.2018 12:30 - 12.11.2018 13:00,0,431
12.11.2018 13:00 - 12.11.2018 13:30,0,431
12.11.2018 13:30 - 12.11.2018 14:00,0,432
12.11.2018 14:00 - 12.11.2018 14:30,0,439
12.11.2018 14:30 - 12.11.2018 15:00,0,444
12.11.2018 15:00 - 12.11.2018 15:30,0,451
12.11.2018 15:30 - 12.11.2018 16:00,0,464
12.11.2018 16:00 - 12.11.2018 16:30,0,493
12.11.2018 16:30 - 12.11.2018 17:00,0,530
12.11.2018 17:00 - 12.11.2018 17:30,0,534
12.11.2018 17:30 - 12.11.2018 18:00,0,530
12.11.2018 18:00 - 12.11.2018 18:30,0,527
12.11.2018 18:30 - 12.11.2018 19:00,0,518
12.11.2018 19:00 - 12.11.2018 19:30,0,503
12.11.2018 19:30 - 12.11.2018 20:00,0,488
12.11.2018 20:00 - 12.11.2018 20:30,0,467
12.11.2018 20:30 - 12.11.2018 21:00,0,444
12.11.2018 21:00 - 12.11.2018 21:30,0,423
12.11.2018 21:30 - 12.11.2018 22:00,0,397
12.11.2018 22:00 - 12.11.2018 22:30,0,374
12.11.2018 22:30 - 12.11.2018 23:00,0,355
12.11.2018 23:00 - 12.11.2018 23:30,0,333
12.11.2018 23:30 - 13.11.2018 00:00,0,315
13.11.2018 00:00 - 13.11.2018 00:30,0,303
13.11.2018 00:30 - 13.11.2018 01:00,0,295
13.11.2018 01:00 - 13.11.2018 01:30,0,290
13.11.2018 01:30 - 13.11.2018 02:00,0,286
13.11.2018 02:00 - 13.11.2018 02:30,0,282
13.11.2018 02:30 - 13.11.2018 03:00,0,281
13.11.2018 03:00 - 13.11.2018 03:30,0,280
13.11.2018 03:30 - 13.11.2018 04:00,0,284
13.11.2018 04:00 - 13.11.2018 04:30,0,292
13.11.2018 04:30 - 13.11.2018 05:00,0,306
13.11.2018 05:00 - 13.11.2018 05:30,0,314
13.11.2018 05:30 - 13.11.2018 06:00,0,344
13.11.2018 06:00 - 13.11.2018 06:30,0,371
13.11.2018 06:30 - 13.11.2018 07:00,0,397
13.11.2018 07:00 - 13.11.2018 07:30,0,411
13.11.2018 07:30 - 13.11.2018 08:00,0,422
13.11.2018 08:00 - 13.11.2018 08:30,0,421
13.11.2018 08:30 - 13.11.2018 09:00,0,425
13.11.2018 09:00 - 13.11.2018 09:30,0,425
13.11.2018 09:30 - 13.11.2018 10:00,0,430
13.11.2018 10:00 - 13.11.2018 10:30,0,436
13.11.2018 10:30 - 13.11.2018 11:00,0,436
13.11.2018 11:00 - 13.11.2018 11:30,0,438
13.11.2018 11:30 - 13.11.2018 12:00,0,447
13.11.2018 12:00 - 13.11.2018 12:30,0,456
13.11.2018 12:30 - 13.11.2018 13:00,0,456
13.11.2018 13:00 - 13.11.2018 13:30,0,469
13.11.2018 13:30 - 13.11.2018 14:00,0,472
13.11.2018 14:00 - 13.11.2018 14:30,0,469
13.11.2018 14:30 - 13.11.2018 15:00,0,470
13.11.2018 15:00 - 13.11.2018 15:30,0,477
13.11.2018 15:30 - 13.11.2018 16:00,0,492
13.11.2018 16:00 - 13.11.2018 16:30,0,514
13.11.2018 16:30 - 13.11.2018 17:00,0,549
13.11.2018 17:00 - 13.11.2018 17:30,0,551
13.11.2018 17:30 - 13.11.2018 18:00,0,550
13.11.2018 18:00 - 13.11.2018 18:30,0,544
13.11.2018 18:30 - 13.11.2018 19:00,0,535
13.11.2018 19:00 - 13.11.2018 19:30,0,517
13.11.2018 19:30 - 13.11.2018 20:00,0,499
13.11.2018 20:00 - 13.11.2018 20:30,0,479
13.11.2018 20:30 - 13.11.2018 21:00,0,451
13.11.2018 21:00 - 13.11.2018 21:30,0,428
13.11.2018 21:30 - 13.11.2018 22:00,0,402
13.11.2018 22:00 - 13.11.2018 22:30,0,379
13.11.2018 22:30 - 13.11.2018 23:00,0,355
13.11.2018 23:00 - 13.11.2018 23:30,0,334
13.11.2018 23:30 - 14.11.2018 00:00,0,314
14.11.2018 00:00 - 14.11.2018 00:30,0,301
14.11.2018 00:30 - 14.11.2018 01:00,0,295
14.11.2018 01:00 - 14.11.2018 01:30,0,289
14.11.2018 01:30 - 14.11.2018 02:00,0,283
14.11.2018 02:00 - 14.11.2018 02:30,0,283
14.11.2018 02:30 - 14.11.2018 03:00,0,280
14.11.2018 03:00 - 14.11.2018 03:30,0,281
14.11.2018 03:30 - 14.11.2018 04:00,0,283
14.11.2018 04:00 - 14.11.2018 04:30,0,293
14.11.2018 04:30 - 14.11.2018 05:00,0,309
14.11.2018 05:00 - 14.11.2018 05:30,0,322
14.11.2018 05:30 - 14.11.2018 06:00,0,358
14.11.2018 06:00 - 14.11.2018 06:30,0,387
14.11.2018 06:30 - 14.11.2018 07:00,0,405
14.11.2018 07:00 - 14.11.2018 07:30,0,414
14.11.2018 07:30 - 14.11.2018 08:00,0,421
14.11.2018 08:00 - 14.11.2018 08:30,0,412
14.11.2018 08:30 - 14.11.2018 09:00,0,412
14.11.2018 09:00 - 14.11.2018 09:30,0,408
14.11.2018 09:30 - 14.11.2018 10:00,0,406
14.11.2018 10:00 - 14.11.2018 10:30,0,407
14.11.2018 10:30 - 14.11.2018 11:00,0,406
14.11.2018 11:00 - 14.11.2018 11:30,0,407
14.11.2018 11:30 - 14.11.2018 12:00,0,408
14.11.2018 12:00 - 14.11.2018 12:30,0,408
14.11.2018 12:30 - 14.11.2018 13:00,0,405
14.11.2018 13:00 - 14.11.2018 13:30,0,409
14.11.2018 13:30 - 14.11.2018 14:00,0,415
14.11.2018 14:00 - 14.11.2018 14:30,0,423
14.11.2018 14:30 - 14.11.2018 15:00,0,429
14.11.2018 15:00 - 14.11.2018 15:30,0,440
14.11.2018 15:30 - 14.11.2018 16:00,0,456
14.11.2018 16:00 - 14.11.2018 16:30,0,485
14.11.2018 16:30 - 14.11.2018 17:00,0,533
14.11.2018 17:00 - 14.11.2018 17:30,0,535
14.11.2018 17:30 - 14.11.2018 18:00,0,535
14.11.2018 18:00 - 14.11.2018 18:30,0,528
14.11.2018 18:30 - 14.11.2018 19:00,0,519
14.11.2018 19:00 - 14.11.2018 19:30,0,505
14.11.2018 19:30 - 14.11.2018 20:00,0,485
14.11.2018 20:00 - 14.11.2018 20:30,0,469
14.11.2018 20:30 - 14.11.2018 21:00,0,449
14.11.2018 21:00 - 14.11.2018 21:30,0,423
14.11.2018 21:30 - 14.11.2018 22:00,0,398
14.11.2018 22:00 - 14.11.2018 22:30,0,374
14.11.2018 22:30 - 14.11.2018 23:00,0,352
14.11.2018 23:00 - 14.11.2018 23:30,0,333
14.11.2018 23:30 - 15.11.2018 00:00,0,313
15.11.2018 00:00 - 15.11.2018 00:30,0,301
15.11.2018 00:30 - 15.11.2018 01:00,0,290
15.11.2018 01:00 - 15.11.2018 01:30,0,286
15.11.2018 01:30 - 15.11.2018 02:00,0,282
15.11.2018 02:00 - 15.11.2018 02:30,0,280
15.11.2018 02:30 - 15.11.2018 03:00,0,279
15.11.2018 03:00 - 15.11.2018 03:30,0,280
15.11.2018 03:30 - 15.11.2018 04:00,0,284
15.11.2018 04:00 - 15.11.2018 04:30,0,291
15.11.2018 04:30 - 15.11.2018 05:00,0,309
15.11.2018 05:00 - 15.11.2018 05:30,0,325
15.11.2018 05:30 - 15.11.2018 06:00,0,362
15.11.2018 06:00 - 15.11.2018 06:30,0,384
15.11.2018 06:30 - 15.11.2018 07:00,0,398
15.11.2018 07:00 - 15.11.2018 07:30,0,410
15.11.2018 07:30 - 15.11.2018 08:00,0,416
15.11.2018 08:00 - 15.11.2018 08:30,0,415
15.11.2018 08:30 - 15.11.2018 09:00,0,416
15.11.2018 09:00 - 15.11.2018 09:30,0,416
15.11.2018 09:30 - 15.11.2018 10:00,0,413
15.11.2018 10:00 - 15.11.2018 10:30,0,412
15.11.2018 10:30 - 15.11.2018 11:00,0,414
15.11.2018 11:00 - 15.11.2018 11:30,0,414
15.11.2018 11:30 - 15.11.2018 12:00,0,425
15.11.2018 12:00 - 15.11.2018 12:30,0,424
15.11.2018 12:30 - 15.11.2018 13:00,0,423
15.11.2018 13:00 - 15.11.2018 13:30,0,431
15.11.2018 13:30 - 15.11.2018 14:00,0,433
15.11.2018 14:00 - 15.11.2018 14:30,0,433
15.11.2018 14:30 - 15.11.2018 15:00,0,444
15.11.2018 15:00 - 15.11.2018 15:30,0,457
