Time (WET),Albania (AL) > Greece (GR) [MW],Greece (GR) > Albania (AL) [MW]
06.10.2018 12:00 - 06.10.2018 13:00,0,370
06.10.2018 13:00 - 06.10.2018 14:00,0,334
06.10.2018 14:00 - 06.10.2018 15:00,0,330
06.10.2018 15:00 - 06.10.2018 16:00,0,316
06.10.2018 16:00 - 06.10.2018 17:00,0,283
06.10.2018 17:00 - 06.10.2018 18:00,0,240
06.10.2018 18:00 - 06.10.2018 19:00,0,222
06.10.2018 19:00 - 06.10.2018 20:00,0,252
06.10.2018 20:00 - 06.10.2018 21:00,0,265
06.10.2018 21:00 - 06.10.2018 22:00,0,269
06.10.2018 22:00 - 06.10.2018 23:00,0,257
06.10.2018 23:00 - 07.10.2018 00:00,0,251
07.10.2018 00:00 - 07.10.2018 01:00,0,265
07.10.2018 01:00 - 07.10.2018 02:00,0,283
07.10.2018 02:00 - 07.10.2018 03:00,0,272
07.10.2018 03:00 - 07.10.2018 04:00,0,264
07.10.2018 04:00 - 07.10.2018 05:00,0,260
07.10.2018 05:00 - 07.10.2018 06:00,0,275
07.10.2018 06:00 - 07.10.2018 07:00,0,337
07.10.2018 07:00 - 07.10.2018 08:00,0,359
07.10.2018 08:00 - 07.10.2018 09:00,0,398
07.10.2018 09:00 - 07.10.2018 10:00,0,376
07.10.2018 10:00 - 07.10.2018 11:00,0,389
07.10.2018 11:00 - 07.10.2018 12:00,0,404
07.10.2018 12:00 - 07.10.2018 13:00,0,378
07.10.2018 13:00 - 07.10.2018 14:00,0,357
07.10.2018 14:00 - 07.10.2018 15:00,0,377
07.10.2018 15:00 - 07.10.2018 16:00,0,335
07.10.2018 16:00 - 07.10.2018 17:00,0,295
07.10.2018 17:00 - 07.10.2018 18:00,0,306
07.10.2018 18:00 - 07.10.2018 19:00,0,291
07.10.2018 19:00 - 07.10.2018 20:00,0,298
07.10.2018 20:00 - 07.10.2018 21:00,0,297
07.10.2018 21:00 - 07.10.2018 22:00,0,318
07.10.2018 22:00 - 07.10.2018 23:00,0,342
07.10.2018 23:00 - 08.10.2018 00:00,0,318
08.10.2018 00:00 - 08.10.2018 01:00,0,308
08.10.2018 01:00 - 08.10.2018 02:00,0,325
08.10.2018 02:00 - 08.10.2018 03:00,0,326
08.10.2018 03:00 - 08.10.2018 04:00,0,313
08.10.2018 04:00 - 08.10.2018 05:00,0,226
08.10.2018 05:00 - 08.10.2018 06:00,0,330
08.10.2018 06:00 - 08.10.2018 07:00,0,332
08.10.2018 07:00 - 08.10.2018 08:00,0,399
08.10.2018 08:00 - 08.10.2018 09:00,0,401
08.10.2018 09:00 - 08.10.2018 10:00,0,418
08.10.2018 10:00 - 08.10.2018 11:00,0,417
08.10.2018 11:00 - 08.10.2018 12:00,0,358
08.10.2018 12:00 - 08.10.2018 13:00,0,359
08.10.2018 13:00 - 08.10.2018 14:00,0,369
08.10.2018 14:00 - 08.10.2018 15:00,0,376
08.10.2018 15:00 - 08.10.2018 16:00,0,336
08.10.2018 16:00 - 08.10.2018 17:00,0,317
08.10.2018 17:00 - 08.10.2018 18:00,0,271
08.10.2018 18:00 - 08.10.2018 19:00,0,278
08.10.2018 19:00 - 08.10.2018 20:00,0,284
08.10.2018 20:00 - 08.10.2018 21:00,0,368
08.10.2018 21:00 - 08.10.2018 22:00,0,348
08.10.2018 22:00 - 08.10.2018 23:00,0,246
08.10.2018 23:00 - 09.10.2018 00:00,0,282
09.10.2018 00:00 - 09.10.2018 01:00,0,338
09.10.2018 01:00 - 09.10.2018 02:00,0,356
09.10.2018 02:00 - 09.10.2018 03:00,0,352
09.10.2018 03:00 - 09.10.2018 04:00,0,339
09.10.2018 04:00 - 09.10.2018 05:00,0,282
09.10.2018 05:00 - 09.10.2018 06:00,0,383
09.10.2018 06:00 - 09.10.2018 07:00,0,408
09.10.2018 07:00 - 09.10.2018 08:00,0,438
09.10.2018 08:00 - 09.10.2018 09:00,0,429
09.10.2018 09:00 - 09.10.2018 10:00,0,459
09.10.2018 10:00 - 09.10.2018 11:00,0,481
09.10.2018 11:00 - 09.10.2018 12:00,0,457
09.10.2018 12:00 - 09.10.2018 13:00,0,474
09.10.2018 13:00 - 09.10.2018 14:00,0,452
09.10.2018 14:00 - 09.10.2018 15:00,0,445
09.10.2018 15:00 - 09.10.2018 16:00,0,428
09.10.2018 16:00 - 09.10.2018 17:00,0,363
09.10.2018 17:00 - 09.10.2018 18:00,0,299
09.10.2018 18:00 - 09.10.2018 19:00,0,289
09.10.2018 19:00 - 09.10.2018 20:00,0,312
09.10.2018 20:00 - 09.10.2018 21:00,0,414
09.10.2018 21:00 - 09.10.2018 22:00,0,388
09.10.2018 22:00 - 09.10.2018 23:00,0,297
09.10.2018 23:00 - 10.10.2018 00:00,0,301
10.10.2018 00:00 - 10.10.2018 01:00,0,334
10.10.2018 01:00 - 10.10.2018 02:00,0,355
10.10.2018 02:00 - 10.10.2018 03:00,0,352
10.10.2018 03:00 - 10.10.2018 04:00,0,351
10.10.2018 04:00 - 10.10.2018 05:00,0,298
10.10.2018 05:00 - 10.10.2018 06:00,0,422
10.10.2018 06:00 - 10.10.2018 07:00,0,436
10.10.2018 07:00 - 10.10.2018 08:00,0,436
10.10.2018 08:00 - 10.10.2018 09:00,0,436
10.10.2018 09:00 - 10.10.2018 10:00,0,469
10.10.2018 10:00 - 10.10.2018 11:00,0,514
10.10.2018 11:00 - 10.10.2018 12:00,0,487
10.10.2018 12:00 - 10.10.2018 13:00,0,484
10.10.2018 13:00 - 10.10.2018 14:00,0,472
10.10.2018 14:00 - 10.10.2018 15:00,0,457
10.10.2018 15:00 - 10.10.2018 16:00,0,433
10.10.2018 16:00 - 10.10.2018 17:00,0,384
10.10.2018 17:00 - 10.10.2018 18:00,0,322
10.10.2018 18:00 - 10.10.2018 19:00,0,311
10.10.2018 19:00 - 10.10.2018 20:00,0,334
10.10.2018 20:00 - 10.10.2018 21:00,0,428
10.10.2018 21:00 - 10.10.2018 22:00,0,355
10.10.2018 22:00 - 10.10.2018 23:00,0,312
10.10.2018 23:00 - 11.10.2018 00:00,0,296
11.10.2018 00:00 - 11.10.2018 01:00,0,342
11.10.2018 01:00 - 11.10.2018 02:00,0,333
11.10.2018 02:00 - 11.10.2018 03:00,0,343
11.10.2018 03:00 - 11.10.2018 04:00,0,331
11.10.2018 04:00 - 11.10.2018 05:00,0,320
11.10.2018 05:00 - 11.10.2018 06:00,0,379
11.10.2018 06:00 - 11.10.2018 07:00,0,455
11.10.2018 07:00 - 11.10.2018 08:00,0,464
11.10.2018 08:00 - 11.10.2018 09:00,0,449
11.10.2018 09:00 - 11.10.2018 10:00,0,497
11.10.2018 10:00 - 11.10.2018 11:00,0,487
11.10.2018 11:00 - 11.10.2018 12:00,0,467
11.10.2018 12:00 - 11.10.2018 13:00,0,457
11.10.2018 13:00 - 11.10.2018 14:00,0,447
11.10.2018 14:00 - 11.10.2018 15:00,0,454
11.10.2018 15:00 - 11.10.2018 16:00,0,434
11.10.2018 16:00 - 11.10.2018 17:00,0,376
11.10.2018 17:00 - 11.10.2018 18:00,0,314
11.10.2018 18:00 - 11.10.2018 19:00,0,274
11.10.2018 19:00 - 11.10.2018 20:00,0,301
11.10.2018 20:00 - 11.10.2018 21:00,0,365
11.10.2018 21:00 - 11.10.2018 22:00,0,308
11.10.2018 22:00 - 11.10.2018 23:00,0,234
11.10.2018 23:00 - 12.10.2018 00:00,0,253
12.10.2018 00:00 - 12.10.2018 01:00,0,267
12.10.2018 01:00 - 12.10.2018 02:00,0,277
12.10.2018 02:00 - 12.10.2018 03:00,0,270
12.10.2018 03:00 - 12.10.2018 04:00,0,266
12.10.2018 04:00 - 12.10.2018 05:00,0,257
12.10.2018 05:00 - 12.10.2018 06:00,0,308
12.10.2018 06:00 - 12.10.2018 07:00,0,473
12.10.2018 07:00 - 12.10.2018 08:00,0,486
12.10.2018 08:00 - 12.10.2018 09:00,0,476
12.10.2018 09:00 - 12.10.2018 10:00,0,474
12.10.2018 10:00 - 12.10.2018 11:00,0,478
12.10.2018 11:00 - 12.10.2018 12:00,0,439
12.10.2018 12:00 - 12.10.2018 13:00,0,405
12.10.2018 13:00 - 12.10.2018 14:00,0,401
12.10.2018 14:00 - 12.10.2018 15:00,0,427
12.10.2018 15:00 - 12.10.2018 16:00,0,429
12.10.2018 16:00 - 12.10.2018 17:00,0,432
12.10.2018 17:00 - 12.10.2018 18:00,0,364
12.10.2018 18:00 - 12.10.2018 19:00,0,346
12.10.2018 19:00 - 12.10.2018 20:00,0,389
12.10.2018 20:00 - 12.10.2018 21:00,0,430
12.10.2018 21:00 - 12.10.2018 22:00,0,364
12.10.2018 22:00 - 12.10.2018 23:00,0,245
12.10.2018 23:00 - 13.10.2018 00:00,0,265
13.10.2018 00:00 - 13.10.2018 01:00,0,302
13.10.2018 01:00 - 13.10.2018 02:00,0,315
13.10.2018 02:00 - 13.10.2018 03:00,0,325
13.10.2018 03:00 - 13.10.2018 04:00,0,332
13.10.2018 04:00 - 13.10.2018 05:00,0,322
13.10.2018 05:00 - 13.10.2018 06:00,0,309
13.10.2018 06:00 - 13.10.2018 07:00,0,395
13.10.2018 07:00 - 13.10.2018 08:00,0,384
13.10.2018 08:00 - 13.10.2018 09:00,0,403
13.10.2018 09:00 - 13.10.2018 10:00,0,385
13.10.2018 10:00 - 13.10.2018 11:00,0,388
13.10.2018 11:00 - 13.10.2018 12:00,0,366
13.10.2018 12:00 - 13.10.2018 13:00,0,361
13.10.2018 13:00 - 13.10.2018 14:00,0,373
13.10.2018 14:00 - 13.10.2018 15:00,0,359
13.10.2018 15:00 - 13.10.2018 16:00,0,344
13.10.2018 16:00 - 13.10.2018 17:00,0,317
13.10.2018 17:00 - 13.10.2018 18:00,0,308
13.10.2018 18:00 - 13.10.2018 19:00,0,308
13.10.2018 19:00 - 13.10.2018 20:00,0,353
13.10.2018 20:00 - 13.10.2018 21:00,0,320
13.10.2018 21:00 - 13.10.2018 22:00,0,332
13.10.2018 22:00 - 13.10.2018 23:00,0,259
13.10.2018 23:00 - 14.10.2018 00:00,0,273
14.10.2018 00:00 - 14.10.2018 01:00,0,296
14.10.2018 01:00 - 14.10.2018 02:00,0,271
14.10.2018 02:00 - 14.10.2018 03:00,0,255
14.10.2018 03:00 - 14.10.2018 04:00,0,260
14.10.2018 04:00 - 14.10.2018 05:00,0,269
14.10.2018 05:00 - 14.10.2018 06:00,0,310
14.10.2018 06:00 - 14.10.2018 07:00,0,363
14.10.2018 07:00 - 14.10.2018 08:00,0,341
14.10.2018 08:00 - 14.10.2018 09:00,0,321
14.10.2018 09:00 - 14.10.2018 10:00,0,287
14.10.2018 10:00 - 14.10.2018 11:00,0,290
14.10.2018 11:00 - 14.10.2018 12:00,0,296
14.10.2018 12:00 - 14.10.2018 13:00,0,286
14.10.2018 13:00 - 14.10.2018 14:00,0,299
14.10.2018 14:00 - 14.10.2018 15:00,0,294
14.10.2018 15:00 - 14.10.2018 16:00,0,303
14.10.2018 16:00 - 14.10.2018 17:00,0,288
14.10.2018 17:00 - 14.10.2018 18:00,0,391
14.10.2018 18:00 - 14.10.2018 19:00,0,378
14.10.2018 19:00 - 14.10.2018 20:00,0,415
14.10.2018 20:00 - 14.10.2018 21:00,0,346
14.10.2018 21:00 - 14.10.2018 22:00,0,333
14.10.2018 22:00 - 14.10.2018 23:00,0,286
14.10.2018 23:00 - 15.10.2018 00:00,0,307
15.10.2018 00:00 - 15.10.2018 01:00,0,327
15.10.2018 01:00 - 15.10.2018 02:00,0,330
15.10.2018 02:00 - 15.10.2018 03:00,0,334
15.10.2018 03:00 - 15.10.2018 04:00,0,323
15.10.2018 04:00 - 15.10.2018 05:00,0,257
15.10.2018 05:00 - 15.10.2018 06:00,0,376
15.10.2018 06:00 - 15.10.2018 07:00,0,448
15.10.2018 07:00 - 15.10.2018 08:00,0,432
15.10.2018 08:00 - 15.10.2018 09:00,0,444
15.10.2018 09:00 - 15.10.2018 10:00,0,474
15.10.2018 10:00 - 15.10.2018 11:00,0,488
15.10.2018 11:00 - 15.10.2018 12:00,0,481
15.10.2018 12:00 - 15.10.2018 13:00,0,478
15.10.2018 13:00 - 15.10.2018 14:00,0,469
15.10.2018 14:00 - 15.10.2018 15:00,0,455
15.10.2018 15:00 - 15.10.2018 16:00,0,413
15.10.2018 16:00 - 15.10.2018 17:00,0,370
15.10.2018 17:00 - 15.10.2018 18:00,0,338
15.10.2018 18:00 - 15.10.2018 19:00,0,326
15.10.2018 19:00 - 15.10.2018 20:00,0,361
15.10.2018 20:00 - 15.10.2018 21:00,0,430
15.10.2018 21:00 - 15.10.2018 22:00,0,372
15.10.2018 22:00 - 15.10.2018 23:00,0,283
15.10.2018 23:00 - 16.10.2018 00:00,0,260
16.10.2018 00:00 - 16.10.2018 01:00,0,294
16.10.2018 01:00 - 16.10.2018 02:00,0,334
16.10.2018 02:00 - 16.10.2018 03:00,0,334
16.10.2018 03:00 - 16.10.2018 04:00,0,322
16.10.2018 04:00 - 16.10.2018 05:00,0,257
16.10.2018 05:00 - 16.10.2018 06:00,0,312
16.10.2018 06:00 - 16.10.2018 07:00,0,394
16.10.2018 07:00 - 16.10.2018 08:00,0,401
16.10.2018 08:00 - 16.10.2018 09:00,0,391
16.10.2018 09:00 - 16.10.2018 10:00,0,410
16.10.2018 10:00 - 16.10.2018 11:00,0,382
16.10.2018 11:00 - 16.10.2018 12:00,0,360
16.10.2018 12:00 - 16.10.2018 13:00,0,371
16.10.2018 13:00 - 16.10.2018 14:00,0,380
16.10.2018 14:00 - 16.10.2018 15:00,0,385
16.10.2018 15:00 - 16.10.2018 16:00,0,369
16.10.2018 16:00 - 16.10.2018 17:00,0,316
16.10.2018 17:00 - 16.10.2018 18:00,0,231
16.10.2018 18:00 - 16.10.2018 19:00,0,245
16.10.2018 19:00 - 16.10.2018 20:00,0,313
16.10.2018 20:00 - 16.10.2018 21:00,0,395
16.10.2018 21:00 - 16.10.2018 22:00,0,276
16.10.2018 22:00 - 16.10.2018 23:00,0,241
16.10.2018 23:00 - 17.10.2018 00:00,0,305
17.10.2018 00:00 - 17.10.2018 01:00,0,311
17.10.2018 01:00 - 17.10.2018 02:00,0,314
17.10.2018 02:00 - 17.10.2018 03:00,0,312
17.10.2018 03:00 - 17.10.2018 04:00,0,311
17.10.2018 04:00 - 17.10.2018 05:00,0,266
17.10.2018 05:00 - 17.10.2018 06:00,0,282
17.10.2018 06:00 - 17.10.2018 07:00,0,364
17.10.2018 07:00 - 17.10.2018 08:00,0,364
17.10.2018 08:00 - 17.10.2018 09:00,0,361
17.10.2018 09:00 - 17.10.2018 10:00,0,426
17.10.2018 10:00 - 17.10.2018 11:00,0,470
17.10.2018 11:00 - 17.10.2018 12:00,0,443
17.10.2018 12:00 - 17.10.2018 13:00,0,431
17.10.2018 13:00 - 17.10.2018 14:00,0,437
17.10.2018 14:00 - 17.10.2018 15:00,0,458
17.10.2018 15:00 - 17.10.2018 16:00,0,401
17.10.2018 16:00 - 17.10.2018 17:00,0,347
17.10.2018 17:00 - 17.10.2018 18:00,0,251
17.10.2018 18:00 - 17.10.2018 19:00,0,244
17.10.2018 19:00 - 17.10.2018 20:00,0,321
17.10.2018 20:00 - 17.10.2018 21:00,0,403
17.10.2018 21:00 - 17.10.2018 22:00,0,287
17.10.2018 22:00 - 17.10.2018 23:00,0,228
17.10.2018 23:00 - 18.10.2018 00:00,0,272
18.10.2018 00:00 - 18.10.2018 01:00,0,304
18.10.2018 01:00 - 18.10.2018 02:00,0,290
18.10.2018 02:00 - 18.10.2018 03:00,0,295
18.10.2018 03:00 - 18.10.2018 04:00,0,289
18.10.2018 04:00 - 18.10.2018 05:00,0,225
18.10.2018 05:00 - 18.10.2018 06:00,0,295
18.10.2018 06:00 - 18.10.2018 07:00,0,396
18.10.2018 07:00 - 18.10.2018 08:00,0,393
18.10.2018 08:00 - 18.10.2018 09:00,0,387
18.10.2018 09:00 - 18.10.2018 10:00,0,353
18.10.2018 10:00 - 18.10.2018 11:00,0,353
18.10.2018 11:00 - 18.10.2018 12:00,0,329
18.10.2018 12:00 - 18.10.2018 13:00,0,330
18.10.2018 13:00 - 18.10.2018 14:00,0,363
18.10.2018 14:00 - 18.10.2018 15:00,0,370
18.10.2018 15:00 - 18.10.2018 16:00,0,340
18.10.2018 16:00 - 18.10.2018 17:00,0,307
18.10.2018 17:00 - 18.10.2018 18:00,0,187
18.10.2018 18:00 - 18.10.2018 19:00,0,179
18.10.2018 19:00 - 18.10.2018 20:00,0,260
18.10.2018 20:00 - 18.10.2018 21:00,0,322
18.10.2018 21:00 - 18.10.2018 22:00,0,222
18.10.2018 22:00 - 18.10.2018 23:00,0,202
18.10.2018 23:00 - 19.10.2018 00:00,0,244
19.10.2018 00:00 - 19.10.2018 01:00,0,259
19.10.2018 01:00 - 19.10.2018 02:00,0,265
19.10.2018 02:00 - 19.10.2018 03:00,0,257
19.10.2018 03:00 - 19.10.2018 04:00,0,243
19.10.2018 04:00 - 19.10.2018 05:00,0,209
19.10.2018 05:00 - 19.10.2018 06:00,0,212
19.10.2018 06:00 - 19.10.2018 07:00,0,374
19.10.2018 07:00 - 19.10.2018 08:00,0,360
19.10.2018 08:00 - 19.10.2018 09:00,0,364
19.10.2018 09:00 - 19.10.2018 10:00,0,353
19.10.2018 10:00 - 19.10.2018 11:00,0,341
19.10.2018 11:00 - 19.10.2018 12:00,0,322
19.10.2018 12:00 - 19.10.2018 13:00,0,335
19.10.2018 13:00 - 19.10.2018 14:00,0,352
19.10.2018 14:00 - 19.10.2018 15:00,0,359
19.10.2018 15:00 - 19.10.2018 16:00,0,361
19.10.2018 16:00 - 19.10.2018 17:00,0,320
19.10.2018 17:00 - 19.10.2018 18:00,0,202
19.10.2018 18:00 - 19.10.2018 19:00,0,178
19.10.2018 19:00 - 19.10.2018 20:00,0,287
19.10.2018 20:00 - 19.10.2018 21:00,0,332
19.10.2018 21:00 - 19.10.2018 22:00,0,236
19.10.2018 22:00 - 19.10.2018 23:00,0,185
19.10.2018 23:00 - 20.10.2018 00:00,0,226
20.10.2018 00:00 - 20.10.2018 01:00,0,270
20.10.2018 01:00 - 20.10.2018 02:00,0,293
20.10.2018 02:00 - 20.10.2018 03:00,0,296
20.10.2018 03:00 - 20.10.2018 04:00,0,295
20.10.2018 04:00 - 20.10.2018 05:00,0,293
20.10.2018 05:00 - 20.10.2018 06:00,0,226
20.10.2018 06:00 - 20.10.2018 07:00,0,322
20.10.2018 07:00 - 20.10.2018 08:00,0,326
20.10.2018 08:00 - 20.10.2018 09:00,0,311
20.10.2018 09:00 - 20.10.2018 10:00,0,244
20.10.2018 10:00 - 20.10.2018 11:00,0,246
20.10.2018 11:00 - 20.10.2018 12:00,0,248
20.10.2018 12:00 - 20.10.2018 13:00,0,297
20.10.2018 13:00 - 20.10.2018 14:00,0,293
20.10.2018 14:00 - 20.10.2018 15:00,0,307
20.10.2018 15:00 - 20.10.2018 16:00,0,251
20.10.2018 16:00 - 20.10.2018 17:00,0,237
20.10.2018 17:00 - 20.10.2018 18:00,0,288
20.10.2018 18:00 - 20.10.2018 19:00,0,295
20.10.2018 19:00 - 20.10.2018 20:00,0,313
20.10.2018 20:00 - 20.10.2018 21:00,0,287
20.10.2018 21:00 - 20.10.2018 22:00,0,311
20.10.2018 22:00 - 20.10.2018 23:00,0,240
20.10.2018 23:00 - 21.10.2018 00:00,0,276
21.10.2018 00:00 - 21.10.2018 01:00,0,309
21.10.2018 01:00 - 21.10.2018 02:00,0,329
21.10.2018 02:00 - 21.10.2018 03:00,0,323
21.10.2018 03:00 - 21.10.2018 04:00,0,338
21.10.2018 04:00 - 21.10.2018 05:00,0,351
21.10.2018 05:00 - 21.10.2018 06:00,0,347
21.10.2018 06:00 - 21.10.2018 07:00,0,381
21.10.2018 07:00 - 21.10.2018 08:00,0,361
21.10.2018 08:00 - 21.10.2018 09:00,0,353
21.10.2018 09:00 - 21.10.2018 10:00,0,356
21.10.2018 10:00 - 21.10.2018 11:00,0,371
21.10.2018 11:00 - 21.10.2018 12:00,0,365
21.10.2018 12:00 - 21.10.2018 13:00,0,331
21.10.2018 13:00 - 21.10.2018 14:00,0,342
21.10.2018 14:00 - 21.10.2018 15:00,0,328
21.10.2018 15:00 - 21.10.2018 16:00,0,316
21.10.2018 16:00 - 21.10.2018 17:00,0,303
21.10.2018 17:00 - 21.10.2018 18:00,0,378
21.10.2018 18:00 - 21.10.2018 19:00,0,378
21.10.2018 19:00 - 21.10.2018 20:00,0,378
21.10.2018 20:00 - 21.10.2018 21:00,0,329
21.10.2018 21:00 - 21.10.2018 22:00,0,337
21.10.2018 22:00 - 21.10.2018 23:00,0,279
21.10.2018 23:00 - 22.10.2018 00:00,0,302
22.10.2018 00:00 - 22.10.2018 01:00,0,287
22.10.2018 01:00 - 22.10.2018 02:00,0,289
22.10.2018 02:00 - 22.10.2018 03:00,0,290
22.10.2018 03:00 - 22.10.2018 04:00,0,281
22.10.2018 04:00 - 22.10.2018 05:00,0,271
22.10.2018 05:00 - 22.10.2018 06:00,0,224
22.10.2018 06:00 - 22.10.2018 07:00,0,384
22.10.2018 07:00 - 22.10.2018 08:00,0,356
22.10.2018 08:00 - 22.10.2018 09:00,0,342
22.10.2018 09:00 - 22.10.2018 10:00,0,382
22.10.2018 10:00 - 22.10.2018 11:00,0,393
22.10.2018 11:00 - 22.10.2018 12:00,0,359
22.10.2018 12:00 - 22.10.2018 13:00,0,350
22.10.2018 13:00 - 22.10.2018 14:00,0,344
22.10.2018 14:00 - 22.10.2018 15:00,0,321
22.10.2018 15:00 - 22.10.2018 16:00,0,315
22.10.2018 16:00 - 22.10.2018 17:00,0,296
22.10.2018 17:00 - 22.10.2018 18:00,0,247
22.10.2018 18:00 - 22.10.2018 19:00,0,221
22.10.2018 19:00 - 22.10.2018 20:00,0,251
22.10.2018 20:00 - 22.10.2018 21:00,0,299
22.10.2018 21:00 - 22.10.2018 22:00,0,237
22.10.2018 22:00 - 22.10.2018 23:00,0,179
22.10.2018 23:00 - 23.10.2018 00:00,0,190
23.10.2018 00:00 - 23.10.2018 01:00,0,184
23.10.2018 01:00 - 23.10.2018 02:00,0,195
23.10.2018 02:00 - 23.10.2018 03:00,0,182
23.10.2018 03:00 - 23.10.2018 04:00,0,179
23.10.2018 04:00 - 23.10.2018 05:00,0,166
23.10.2018 05:00 - 23.10.2018 06:00,0,149
23.10.2018 06:00 - 23.10.2018 07:00,0,259
23.10.2018 07:00 - 23.10.2018 08:00,0,264
23.10.2018 08:00 - 23.10.2018 09:00,0,248
23.10.2018 09:00 - 23.10.2018 10:00,0,267
23.10.2018 10:00 - 23.10.2018 11:00,0,264
23.10.2018 11:00 - 23.10.2018 12:00,0,246
23.10.2018 12:00 - 23.10.2018 13:00,0,285
23.10.2018 13:00 - 23.10.2018 14:00,0,300
23.10.2018 14:00 - 23.10.2018 15:00,0,332
23.10.2018 15:00 - 23.10.2018 16:00,0,351
23.10.2018 16:00 - 23.10.2018 17:00,0,343
23.10.2018 17:00 - 23.10.2018 18:00,0,356
23.10.2018 18:00 - 23.10.2018 19:00,0,359
23.10.2018 19:00 - 23.10.2018 20:00,0,392
23.10.2018 20:00 - 23.10.2018 21:00,0,331
23.10.2018 21:00 - 23.10.2018 22:00,0,328
23.10.2018 22:00 - 23.10.2018 23:00,0,250
23.10.2018 23:00 - 24.10.2018 00:00,0,245
24.10.2018 00:00 - 24.10.2018 01:00,0,240
24.10.2018 01:00 - 24.10.2018 02:00,0,250
24.10.2018 02:00 - 24.10.2018 03:00,0,244
24.10.2018 03:00 - 24.10.2018 04:00,0,227
24.10.2018 04:00 - 24.10.2018 05:00,0,226
24.10.2018 05:00 - 24.10.2018 06:00,0,239
24.10.2018 06:00 - 24.10.2018 07:00,0,371
24.10.2018 07:00 - 24.10.2018 08:00,0,395
24.10.2018 08:00 - 24.10.2018 09:00,0,361
24.10.2018 09:00 - 24.10.2018 10:00,0,321
24.10.2018 10:00 - 24.10.2018 11:00,0,278
24.10.2018 11:00 - 24.10.2018 12:00,0,255
24.10.2018 12:00 - 24.10.2018 13:00,0,269
24.10.2018 13:00 - 24.10.2018 14:00,0,269
24.10.2018 14:00 - 24.10.2018 15:00,0,284
24.10.2018 15:00 - 24.10.2018 16:00,0,298
24.10.2018 16:00 - 24.10.2018 17:00,0,323
24.10.2018 17:00 - 24.10.2018 18:00,0,365
24.10.2018 18:00 - 24.10.2018 19:00,0,342
24.10.2018 19:00 - 24.10.2018 20:00,0,288
24.10.2018 20:00 - 24.10.2018 21:00,0,236
24.10.2018 21:00 - 24.10.2018 22:00,0,258
24.10.2018 22:00 - 24.10.2018 23:00,0,212
24.10.2018 23:00 - 25.10.2018 00:00,0,229
25.10.2018 00:00 - 25.10.2018 01:00,0,219
25.10.2018 01:00 - 25.10.2018 02:00,0,227
25.10.2018 02:00 - 25.10.2018 03:00,0,230
25.10.2018 03:00 - 25.10.2018 04:00,0,235
25.10.2018 04:00 - 25.10.2018 05:00,0,216
25.10.2018 05:00 - 25.10.2018 06:00,0,255
25.10.2018 06:00 - 25.10.2018 07:00,0,403
25.10.2018 07:00 - 25.10.2018 08:00,0,377
25.10.2018 08:00 - 25.10.2018 09:00,0,358
25.10.2018 09:00 - 25.10.2018 10:00,0,352
25.10.2018 10:00 - 25.10.2018 11:00,0,356
25.10.2018 11:00 - 25.10.2018 12:00,0,342
25.10.2018 12:00 - 25.10.2018 13:00,0,371
25.10.2018 13:00 - 25.10.2018 14:00,0,371
25.10.2018 14:00 - 25.10.2018 15:00,0,375
25.10.2018 15:00 - 25.10.2018 16:00,0,393
25.10.2018 16:00 - 25.10.2018 17:00,0,387
25.10.2018 17:00 - 25.10.2018 18:00,0,335
25.10.2018 18:00 - 25.10.2018 19:00,0,316
25.10.2018 19:00 - 25.10.2018 20:00,0,368
25.10.2018 20:00 - 25.10.2018 21:00,0,321
25.10.2018 21:00 - 25.10.2018 22:00,0,296
25.10.2018 22:00 - 25.10.2018 23:00,0,236
25.10.2018 23:00 - 26.10.2018 00:00,0,248
26.10.2018 00:00 - 26.10.2018 01:00,0,267
26.10.2018 01:00 - 26.10.2018 02:00,0,275
26.10.2018 02:00 - 26.10.2018 03:00,0,270
26.10.2018 03:00 - 26.10.2018 04:00,0,266
26.10.2018 04:00 - 26.10.2018 05:00,0,260
26.10.2018 05:00 - 26.10.2018 06:00,0,211
26.10.2018 06:00 - 26.10.2018 07:00,0,325
26.10.2018 07:00 - 26.10.2018 08:00,0,323
26.10.2018 08:00 - 26.10.2018 09:00,0,303
26.10.2018 09:00 - 26.10.2018 10:00,0,283
26.10.2018 10:00 - 26.10.2018 11:00,0,275
26.10.2018 11:00 - 26.10.2018 12:00,0,262
26.10.2018 12:00 - 26.10.2018 13:00,0,284
26.10.2018 13:00 - 26.10.2018 14:00,0,308
26.10.2018 14:00 - 26.10.2018 15:00,0,290
26.10.2018 15:00 - 26.10.2018 16:00,0,271
26.10.2018 16:00 - 26.10.2018 17:00,0,261
26.10.2018 17:00 - 26.10.2018 18:00,0,231
26.10.2018 18:00 - 26.10.2018 19:00,0,246
26.10.2018 19:00 - 26.10.2018 20:00,0,270
26.10.2018 20:00 - 26.10.2018 21:00,0,306
26.10.2018 21:00 - 26.10.2018 22:00,0,221
26.10.2018 22:00 - 26.10.2018 23:00,0,173
26.10.2018 23:00 - 27.10.2018 00:00,0,229
27.10.2018 00:00 - 27.10.2018 01:00,0,231
27.10.2018 01:00 - 27.10.2018 02:00,0,215
27.10.2018 02:00 - 27.10.2018 03:00,0,221
27.10.2018 03:00 - 27.10.2018 04:00,0,221
27.10.2018 04:00 - 27.10.2018 05:00,0,229
27.10.2018 05:00 - 27.10.2018 06:00,0,221
